Title,Runtime (minutes),Language,Overview,Release Year,Genre,Keywords,Actors,Directors,Stream,Buy,Rent,Production Companies,Website
Dragon Ball Super: Super Hero,99,Japanese,"The Red Ribbon Army, an evil organization that was once destroyed by Goku in the past, has been reformed by a group of people who have created new and mightier Androids, Gamma 1 and Gamma 2, and seek vengeance against Goku and his family.",2022,"Animation, Science Fiction, Action","android, sequel, attack, based on manga, fighting, aftercreditsstinger, duringcreditsstinger, anime","Mamoru Miyano, Toshio Furukawa, Masako Nozawa, Hiroshi Kamiya, Yuko Minaguchi",Tetsuro Kodama,"Crunchyroll, Crunchyroll Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Toei Animation, Shueisha, Fuji Television Network, Bandai Namco Entertainment, Bird Studios, Toei Company",Unknown
Darlings,134,Hindi,"Badru hopes her volatile husband will reform if he stops drinking. But when his rage goes too far, she and her mom boldly, albeit clumsily, seek revenge.",2022,"Comedy, Crime, Thriller",,"Vijay Varma, Shefali Shah, Alia Bhatt, Rajesh Sharma, Roshan Mathew",Jasmeet K Reen,"Netflix, Netflix basic with Ads ",,,"Red Chillies Entertainment, Eternal Sunshine Productions",https://www.netflix.com/in/title/81537953
Everything Everywhere All at Once,140,English,"An aging Chinese immigrant is swept up in an insane adventure, where she alone can save what's important to her by connecting with the lives she could have led in other universes.",2022,"Action, Adventure, Science Fiction","mother, martial arts, kung fu, philosophy, generations conflict, chinese woman, laundromat, chinese, east asian lead, divorce, family, hot dog, asian woman, chinese immigrant, mother daughter relationship, asian american, intergenerational trauma, internal revenue service","Stephanie Hsu, Ke Huy Quan, James Hong, Jamie Lee Curtis, Michelle Yeoh","Daniel Kwan, Daniel Scheinert","Netflix, Paramount+ with Showtime, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Showtime Roku Premium Channel, Hoopla, Showtime, Netflix basic with Ads, Showtime Apple TV Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","A24, IAC Films, AGBO, Ley Line Entertainment, TPC, Year of the Rat",https://a24films.com/films/everything-everywhere-all-at-once
The Voyagers,108,Italian,Time jump to 1939 with teenager Max and his friends as they try to navigate Mussolini's Rome and find Max's missing brother.,2022,"Fantasy, Adventure, TV Movie","time travel, zeitreise","Matteo Schiavone, Francesca Alice Antonini, Fabio Bizzarro, Fabrizio Gifuni, Andrea Gaia Wlderk",Ludovico Di Martino,,,,"Groenlandia, Sky",Unknown
Suzume,123,Japanese,"Suzume, 17, lost her mother as a little girl. On her way to school, she meets a mysterious young man. But her curiosity unleashes a calamity that endangers the entire population of Japan, and so Suzume embarks on a journey to set things right.",2022,"Animation, Drama, Adventure, Fantasy","magic, door, natural disaster, calamity, travel, teenage girl, female protagonist, supernatural creature, enviromental, journey, anime","Eri Fukatsu, Sairi Ito, Hokuto Matsumura, Shota Sometani, Nanoka Hara",Makoto Shinkai,"Crunchyroll, Crunchyroll Amazon Channel ","Apple TV, Vudu, Microsoft Store ",Vudu ,"CoMix Wave Films, Story, Lawson Entertainment, East Japan Marketing & Communications, voque ting, KADOKAWA, Aniplex, TOHO",https://www.suzume-movie.com
Avatar: The Way of Water,192,English,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2022,"Science Fiction, Adventure, Action","dying and death, loss of loved one, alien life-form, resurrection, dysfunctional family, sequel, alien planet, distant future, adopted child, rebirth, family dynamics, adopted son, stronger villain, war","Zoe Saldaña, Sam Worthington, Stephen Lang, Kate Winslet, Sigourney Weaver",James Cameron,"Disney Plus, Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","20th Century Studios, Lightstorm Entertainment",https://www.avatar.com/movies/avatar-the-way-of-water
Halloween Ends,111,English,"Four years after the events of Halloween in 2018, Laurie has decided to liberate herself from fear and rage and embrace life. But when a young man is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can’t control, once and for all.",2022,"Horror, Thriller","mask, sadism, radio station, psychopath, homicide, insanity, trauma, halloween, forbidden love, babysitter, illinois, bullying, sequel, halloween party, rampage, serial killer, slasher, accidental death, multiple stabbings, motorcycle, stabbing, sewer, evil, death of son, reboot, homeless man, autumn, halloween costume, grieving father, memoir, murder spree, human monster, death of a child, doomed romance, sadistic killer, grandmother granddaughter relationship, masked killer, junkyard, holiday horror","Rohan Campbell, Jamie Lee Curtis, Andi Matichak, James Jude Courtney, Will Patton",David Gordon Green,Peacock Premium ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Universal Pictures, Blumhouse Productions, Miramax, Rough House Pictures, Trancas International Films",https://www.halloweenmovie.com
Smile,115,English,"After witnessing a bizarre, traumatic incident involving a patient, Dr. Rose Cotter starts experiencing frightening occurrences that she can't explain.",2022,"Horror, Mystery, Thriller","suicide, post-traumatic stress disorder (ptsd), therapist, detective, paranoia, trauma, curse, hospital, doctor, mental illness, evil, psychotic, self-harm, demonic, based on short film","Sosie Bacon, Caitlin Stasey, Kal Penn, Kyle Gallner, Jessie T. Usher",Parker Finn,"Amazon Prime Video, fuboTV, MGM Plus Amazon Channel, Paramount Plus, Paramount Plus Apple TV Channel , Paramount+ Amazon Channel, Paramount+ Roku Premium Channel, MGM Plus ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Paramount Players, Temple Hill Entertainment",https://www.smile.movie/
The Exorcism of Hannah Stevenson,75,English,"Hannah and Matt, a young couple on their first holiday together, quickly discover that they may not see eye-to-eye. Feeling as though she let her boyfriend down, Hannah enlists the help of a mysterious gypsy woman, in the hope that the couple's troubles can be overcome. However, when Matt wakes to find his girlfriend has disappeared, the gypsy woman's sinister intentions become all too clear.",2022,"Fantasy, Horror",,"Tom Hogan, Charlie Downes, Hannah Rose, Howard Lewis Morgan, Edward Gist",Jason Parker,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",,Unknown
Teddy's Christmas,76,Norwegian,"While visiting a Christmas market in her Norwegian town, eight year old Mariann spots a talking teddy bear at a carnival game booth. However, when someone else wins it, she embarks on a quest to find the adorable bear that captured her heart.",2022,"Family, Adventure, Fantasy","teddy bear, woman director, christmas","Lene Kongsvik Johansen, Medina Iqbal, John Brungot, Marte Klerck-Nilssen, Mariann Hole",Andrea Eckerbom,,,,Fantefilm,Unknown
M3GAN,102,English,"A brilliant toy company roboticist uses artificial intelligence to develop M3GAN, a life-like doll programmed to emotionally bond with her newly orphaned niece. But when the doll's programming works too well, she becomes overprotective of her new friend with terrifying results.",2022,"Science Fiction, Horror","artificial intelligence (a.i.), aunt niece relationship, evil doll, orphan, car accident, niece, robot, juvenile delinquent, doll, information leak, dead dog, nosy neighbor, hit by a car, dead parents, attacked by a dog, creepy doll, possessed doll","Jenna Davis, Violet McGraw, Amie Donald, Ronny Chieng, Allison Williams",Gerard Johnstone,Amazon Prime Video ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Atomic Monster, Blumhouse Productions, Divide / Conquer, Universal Pictures",https://www.m3ganmovie.com
The Batman,177,English,"In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.",2022,"Crime, Mystery, Thriller","police, psychopath, secret identity, crime fighter, superhero, nightclub, politician, based on comic, vigilante, organized crime, serial killer, millionaire, social injustice, murder investigation, aftercreditsstinger, masked superhero, political corruption, neo-noir, vengeance, mayoral election, the batman saga","John Turturro, Jeffrey Wright, Zoë Kravitz, Robert Pattinson, Paul Dano",Matt Reeves,"Netflix, Max, Max Amazon Channel, Netflix basic with Ads ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","6th & Idaho, Dylan Clark Productions, DC Films, Warner Bros. Pictures",https://www.thebatman.com
Deep Water,116,English,"Vic and Melinda Van Allen are a couple in the small town of Little Wesley. Their loveless marriage is held together only by a precarious arrangement whereby, in order to avoid the messiness of divorce, Melinda is allowed to take any number of lovers as long as she does not desert her family.",2022,"Drama, Mystery, Thriller","based on novel or book, marriage, dysfunctional marriage, murder, cuckold, erotic thriller, cuckolded husband, psychological, snails","Ben Affleck, Tracy Letts, Lil Rel Howery, Ana de Armas, Dash Mihok",Adrian Lyne,Hulu ,,,"New Regency Pictures, Entertainment 360, Film Rites, Keep Your Head Productions",https://www.hulu.com/movie/deep-water-2c4ae82e-2c1b-41d5-a651-82189d1c8b2c
One Week Friends,106,Chinese,"A high school student suffers from a strange amnesia, causing her memories to only last a week. After she befriends a new student, his kindness and persistence make her gradually open up.",2022,Drama,,"Shen Yue, Zhao Jinmai, Lin Yi, Fan Shiran, Zhang Chenxiao",Gavin Lin,,,,,Unknown
Turning Red,100,English,"Thirteen-year-old Mei is experiencing the awkwardness of being a teenager with a twist – when she gets too excited, she transforms into a giant red panda.",2022,"Animation, Family, Comedy, Fantasy","friendship, canada, concert, temple, shapeshifting, toronto, canada, coming of age, teenage girl, female protagonist, east asian lead, animal, domineering mother, perfectionist, aftercreditsstinger, chinese canadian, woman director, ancestor, boy band, mother daughter relationship, red panda","Sandra Oh, Maitreyi Ramakrishnan, Rosalie Chiang, Ava Morse, Hyein Park",Domee Shi,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ",,"Walt Disney Pictures, Pixar",https://www.disneyplus.com/movies/turning-red/4mFPCXJi7N2m
Ox-Head Village,115,Japanese,"Having launched a social media prank about a haunted building, three girls suddenly vanish. Rumours circulate that they were victims of The Ox-Head Village curse, triggering an investigation by two of their friends, desperate to find the truth about what has happened…",2022,"Horror, Drama, Mystery","missing person, japanese folklore","Riku Hagiwara, Rinka Otani, Haruka Imou, Kōki, Fumiya Takahashi",Takashi Shimizu,"Screambox Amazon Channel, AsianCrush ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Toei Company,https://ushikubi-movie.jp/
Reign of Chaos,77,English,"When the world is gripped by a plague unleashed by the evil lord Chaos, and humans are turned into rabid creatures, mankind can only be saved by three young women, descendants of a Goddess, with the power to stop Chaos' evil.",2022,"Action, Horror, Fantasy","chaos, dystopia, warrior woman","Rebecca Finch, Mark Sears, Peter Cosgrove, Ray Whelan, Kate Milner Evans",Rebecca Matthews,,"Apple TV, Amazon Video, Google Play Movies, YouTube ","Apple TV, Amazon Video, Google Play Movies, YouTube ",Proportion Productions,Unknown
Attack,123,Hindi,"With the Parliament under siege, India’s first super soldier Arjun Shergill is tasked to get hold of the terrorists in the nick of time, save the Prime Minister from their clutches and stop a dirty bomb from exploding and destroying Delhi. Will Arjun succeed in his mission?",2022,"Action, Science Fiction, Thriller","parliament, super soldier, soldier, indian army","John Abraham, Serena Walia, Prakash Raj, Ratna Pathak Shah, Rakul Preet Singh",Lakshya Raj Anand,,,,"JA Entertainment, Pen Studios, Ajay Kapoor Productions",Unknown
All Quiet on the Western Front,147,German,"Paul Baumer and his friends Albert and Muller, egged on by romantic dreams of heroism, voluntarily enlist in the German army. Full of excitement and patriotic fervour, the boys enthusiastically march into a war they believe in. But once on the Western Front, they discover the soul-destroying horror of World War I.",2022,"Drama, War, Action","based on novel or book, world war i, tank, battle, period drama, german soldier, 1910s, aircraft, trench warfare","Aaron Hilmer, Adrian Grünewald, Moritz Klaus, Felix Kammerer, Albrecht Schuch",Edward Berger,"Netflix, Netflix basic with Ads ",,,"Amusement Park Films, Gunpowder Films",https://www.netflix.com/title/81260280
"Lyle, Lyle, Crocodile",106,English,"When the Primm family moves to New York City, their young son Josh struggles to adapt to his new school and new friends. All of that changes when he discovers Lyle — a singing crocodile who loves baths, caviar and great music — living in the attic of his new home. But when Lyle’s existence is threatened by evil neighbor Mr. Grumps, the Primms must band together to show the world that family can come from the most unexpected places.",2022,"Comedy, Family, Music","crocodile, musical, based on children's book, outsider, live action and animation, talking animal","Shawn Mendes, Javier Bardem, Constance Wu, Scoot McNairy, Winslow Fegley","Will Speck, Josh Gordon",Netflix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Eagle Pictures, Columbia Pictures",https://www.lylelylecrocodile.movie/
La Soga: Salvation,92,Spanish,"Years after his final job as a highly sought-after hitman, Luisito has settled down with his girlfriend Lia in a quiet seaside town. Unfortunately, they do not enjoy peace for long as Lia is kidnapped by someone who wants Luisito to use his skills one last time. With Lia's life hanging in the balance, Luisito takes on a crew of dangerous killers, including a particularly mysterious assassin who has long awaited the chance to even the score with her rival, La Soga.",2022,"Action, Crime, Drama",,"Manny Pérez, Juan Fernández, Chris McGarry, Sarah Jorge León, Hada Vanessa",Manny Pérez,fuboTV ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Redbox, Spectrum On Demand ",,Unknown
365 Days: This Day,111,Polish,"Laura and Massimo are back and hotter than ever. But the reunited couple's new beginning is complicated by Massimo’s family ties and a mysterious man who enters Laura’s life to win her heart and trust, at any cost.",2022,"Romance, Drama","gangster, sequel, bdsm, rich man poor woman, erotique","Anna-Maria Sieklucka, Michele Morrone, Simone Susinna, Magdalena Lamparska, Otar Saralidze","Tomasz Mandes, Barbara Białowąs","Netflix, Netflix basic with Ads ",,,"Ekipa, Future Space, Next Film, TVN Group",https://www.netflix.com/title/81397576
Spirited,127,English,"Each Christmas Eve, the Ghost of Christmas Present selects one dark soul to be reformed by a visit from three spirits. But this season, he picked the wrong Scrooge. Clint Briggs turns the tables on his ghostly host until Present finds himself reexamining his own past, present and future.",2022,Comedy,"depression, sibling relationship, based on novel or book, holiday, greed, redemption, musical, terminal illness, lost love, ghost, uncle niece relationship, buddy comedy, executive, guilty conscience, christmas, alcoholic mother, brother sister relationship, unfinished business","Patrick Page, Sunita Mani, Octavia Spencer, Will Ferrell, Ryan Reynolds",Sean Anders,Apple TV Plus ,,,"Maximum Effort, Gloria Sanchez Productions, Two Grown Men, Apple Studios",https://tv.apple.com/movie/umc.cmc.3lp7wqowerzdbej98tveildi3
Agent Game,90,English,"Harris, a CIA interrogator at an Agency black site, finds himself the target of a rendition operation after being scapegoated for an interrogation gone horribly wrong. As the team tasked to bring Harris in begins to question their orders -- and each other --Olsen, a senior intelligence officer, and his subordinate, Visser, raise the stakes. Now, it's up to Harris and some newfound allies to uncover the truth and turn the tables.",2022,"Action, Thriller","investigation, murder, betrayal, conspiracy, government agent, manhunt","Katie Cassidy, Dermot Mulroney, Adan Canto, Jason Isaacs, Mel Gibson",Grant S. Johnson,Showtime Apple TV Channel ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Taylor & Dodge, Project Infinity",Unknown
Fantastic Beasts: The Secrets of Dumbledore,142,English,"Professor Albus Dumbledore knows the powerful, dark wizard Gellert Grindelwald is moving to seize control of the wizarding world. Unable to stop him alone, he entrusts magizoologist Newt Scamander to lead an intrepid team of wizards and witches. They soon encounter an array of old and new beasts as they clash with Grindelwald's growing legion of followers.",2022,"Fantasy, Adventure","prison, witch, berlin, germany, magic, election campaign, curse, bhutan, fantasy world, wizard, magical creature, 1930s, good versus evil, wizarding world","Jude Law, Eddie Redmayne, Dan Fogler, Ezra Miller, Mads Mikkelsen",David Yates,"fuboTV, Max, Max Amazon Channel, USA Network ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures, Heyday Films",https://www.fantasticbeasts.com
Sonic the Hedgehog 2,123,English,"After settling in Green Hills, Sonic is eager to prove he has what it takes to be a true hero. His test comes when Dr. Robotnik returns, this time with a new partner, Knuckles, in search for an emerald that has the power to destroy civilizations. Sonic teams up with his own sidekick, Tails, and together they embark on a globe-trotting journey to find the emerald before it falls into the wrong hands.",2022,"Action, Adventure, Family, Comedy","mad scientist, sequel, revenge, based on video game, duringcreditsstinger, hedgehog, live action and animation","James Marsden, Ben Schwartz, Colleen O'Shaughnessey, Idris Elba, Tika Sumpter",Jeff Fowler,"Paramount Plus, Paramount Plus Apple TV Channel  ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Original Film, Blur Studio, Marza Animation Planet, Paramount, SEGA, SEGA of America",https://www.paramountmovies.com/movies/sonic-the-hedgehog-2
Elemental,102,English,"In a city where fire, water, land and air residents live together, a fiery young woman and a go-with-the-flow guy will discover something elemental: how much they have in common.",2023,"Animation, Comedy, Family, Fantasy, Romance, Adventure","fire, computer animation, duringcreditsstinger, elements, water, city, hopeful","Shila Ommi, Wendi McLendon-Covey, Leah Lewis, Mamoudou Athie, Ronnie del Carmen",Peter Sohn,Disney Plus ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Walt Disney Pictures, Pixar",https://movies.disney.com/elemental
The Bricklayer,110,English,"Someone is blackmailing the CIA by assassinating foreign journalists and making it look like the agency is responsible. As the world begins to unite against the U.S., the CIA must lure its most brilliant – and rebellious – operative out of retirement, forcing him to confront his checkered past while unraveling an international conspiracy.",2023,"Action, Thriller","blackmail, conspiracy, ex-cia agent, journalist killed","Nina Dobrev, Clifton Collins Jr., Tim Blake Nelson, Aaron Eckhart, Ilfenesh Hadera",Renny Harlin,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Eclectic Pictures, Millennium Media",https://www.vert-ent.com/films/the-bricklayer
Oppenheimer,181,English,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,2023,"Drama, History","husband wife relationship, based on novel or book, atomic bomb, patriotism, new mexico, world war ii, atomic bomb test, physics, biography, based on true story, interrogation, guilt, historical event, nuclear weapons, communism, red scare, mccarthyism, top secret project, moral dilemma, usa politics, 1940s, antisemitism, 20th century, manhattan project, los alamos","Emily Blunt, Florence Pugh, Matt Damon, Cillian Murphy, Robert Downey Jr.",Christopher Nolan,Peacock Premium ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, FlixFling, Spectrum On Demand ","Syncopy, Universal Pictures, Atlas Entertainment",http://www.oppenheimermovie.com
The Wild,106,Korean,"Woo-chul used to be a successful boxer, but he had to go to prison because his opponent died in the middle of a match. Now that he’s been released, he intends to become a model citizen. Meanwhile, his friend Do-shik will do whatever it takes to get ahead. After choosing different paths, they will be forced to plot against and betray one another.",2023,Action,,"Park Sung-woong, Oh Dal-su, Seo Ji-hye, Oh Dae-hwan, Ju Seok-tae",Kim Bong-han,,,,,Unknown
Mavka: The Forest Song,99,Ukrainian,"Forest soul Mavka faces an impossible choice between her heart and her duty as guardian to the Heart of the Forest, when she falls in love with the talented young human musician Lukas.",2023,"Animation, Adventure, Family, Fantasy","based on novel or book, fairy, nature, folklore, based on myths, legends or folklore, mavka, ukrainian folklore, independent film, love vs duty","Artem Pyvovarov, Oleh Skrypka, Olena Kravets, Nataliia Denysenko, Nazar Zadniprovskyi","Oleg Malamuzh, Oleksandra Ruban",Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Animagrad Animation Studio, 3Beep, FILM.UA Group",https://mavka.ua
The Pope's Exorcist,103,English,"Father Gabriele Amorth, Chief Exorcist of the Vatican, investigates a young boy's terrifying possession and ends up uncovering a centuries-old conspiracy the Vatican has desperately tried to keep hidden.",2023,"Horror, Thriller","spain, rome, italy, pig, vatican, pope, possession, conspiracy, devil, exorcist, skepticism, catholic priest, 1980s, supernatural horror","Russell Crowe, Franco Nero, Daniel Zovatto, Peter DeSouza-Feighoney, Alex Essoe",Julius Avery,Netflix ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, AMC on Demand ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Screen Gems, 2.0 Entertainment, Loyola Productions",https://www.thepopes-exorcist.movie
24 Hours with Gaspar,98,Indonesian,"With only 24 hours left to live, a private investigator follows a trail of confounding clues to uncover the disappearance of his childhood friend.",2023,"Action, Crime, Drama, Mystery, Science Fiction, Thriller","detective, dystopia, human trafficking, neo-noir, based on novel","Reza Rahadian, Laura Basuki, Sal Priadi, Dewi Irawan, Shenina Cinnamon",Yosep Anggi Noen,"Netflix, Netflix basic with Ads ",,,"Visinema Pictures, KawanKawan Media, Legacy Pictures",https://www.netflix.com/title/81724557
"Sorry, Charlie",75,English,A remote helpline volunteer is targeted by a stranger who lures women from their homes with a recording of a crying baby.,2023,"Horror, Thriller","killer, cold blooded killer, creepy, horror, thriller","Kathleen Kenny, Connor Brannigan, Marisa Brown, D'Arquoia Connor, Colton Tran",Colton Tran,,,,,https://tubitv.com/movies/100009924/sorry-charlie
The Angel Maker,94,Danish,"'The Angel Maker' is a psychological crime thriller following Laura, a cyber crimes detective pursuing a brutal serial killer.",2023,"Mystery, Thriller, Crime, Horror",,"Stine Stengade, Andrea Vagn Jensen, Julie R. Ølgaard, Roland Møller, Christopher Læssø","Esben Tønnesen, Julie R. Ølgaard",,,,HitHero Productions,Unknown
Thanksgiving,106,English,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts - the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan.",2023,"Horror, Mystery, Thriller","small town, sadism, holiday, massachusetts, thanksgiving, dark comedy, riot, plymouth, murder, serial killer, consumerism, slasher, whodunit, aftercreditsstinger, murder spree, teenage killer, black friday, based on short film, holidays, revenge slasher, stalked by a killer, revenge horror, masked killer, teen slasher, tense, holiday horror","Addison Rae, Gina Gershon, Patrick Dempsey, Ty Olsson, Nell Verlaque",Eli Roth,Netflix ,"Apple TV, Amazon Video, Vudu, Microsoft Store ","Apple TV, Amazon Video, Vudu, Microsoft Store, Spectrum On Demand ","Electromagnetic Productions, Dragonfly Entertainment, Spyglass Media Group",http://thanksgiving.movie
"The Pig, the Snake and the Pigeon",134,Chinese,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",2023,"Action, Crime","violence, action, crime, excited","Ethan Juan, Chen Yi-Wen, Gingle Wang, Cherry Hsieh, Ben Yuen Foo-Wah",Wong Ching-Po,"Netflix, Netflix basic with Ads ",,,An Attitude Production,https://directorymovies.com/the-pig-the-snake-and-the-pigeon
Expend4bles,103,English,"Armed with every weapon they can get their hands on and the skills to use them, The Expendables are the world’s last line of defense and the team that gets called when all other options are off the table. But new team members with new styles and tactics are going to give “new blood” a whole new meaning.",2023,"Action, Adventure, Thriller","sequel, nuclear bomb, cargo ship, ring","Megan Fox, Dolph Lundgren, Sylvester Stallone, 50 Cent, Jason Statham",Scott Waugh,"Starz Apple TV Channel, Starz Roku Premium Channel, Starz, Starz Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Millennium Media, Campbell Grobman Films, Lionsgate, Nu Boyana Film Studios, Templeton Media, Thunder Road, Davis Films",https://expendables.movie/
The Flash,144,English,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",2023,"Action, Adventure, Science Fiction","hero, secret identity, superhero, based on comic, superhuman, super power, aftercreditsstinger, butterfly effect, dc extended universe (dceu), superhuman abilities, loss of mother, absurd","Michael Shannon, Michael Keaton, Ezra Miller, Sasha Calle, Ron Livingston",Andy Muschietti,"Amazon Prime Video, Max, Max Amazon Channel ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Warner Bros. Pictures, Double Dream, The Disco Factory, DC Films",https://www.dc.com/theflash
The Weapon,85,English,"Dallas is a one-man killing machine on a mysterious rampage. His attacks on biker gangs and meth labs anger the Vegas mob boss who’s holding Dallas’ girlfriend hostage. But who is Dallas working for? Even torture won’t make him talk, and he won’t stop until justice is served.",2023,Action,,"Cuba Gooding Jr., AnnaLynne McCord, Jack Kesy, Tony Schiena, Sean Patrick Flanery",Tony Schiena,,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu ",Lionsgate,Unknown
Anatomy of a Fall,152,French,"A woman is suspected of her husband's murder, and their blind son faces a moral dilemma as the sole witness.",2023,"Thriller, Mystery, Crime","husband wife relationship, winter, bisexuality, autopsy, blind, courtroom, lgbt, death of husband, questioning, woman director, aggressive, candid, courtroom drama, reflective, mother son relationship, bisexual woman, grenoble, ambivalent","Swann Arlaud, Milo Machado-Graner, Antoine Reinartz, Sandra Hüller, Samuel Theis",Justine Triet,Hulu ,"Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store ","Apple TV, Amazon Video, Google Play Movies, YouTube, Vudu, Microsoft Store, Spectrum On Demand ","Les Films de Pierre, Les Films Pelléas, France 2 Cinéma, Auvergne-Rhône-Alpes Cinéma",https://www.anatomyofafall.film/
Carousel,93,Swedish,"Park manager Fiona is tasked with taking care of some former friends who won an exclusive private sneak preview of Halloween at Liseberg - a whole night, all alone in the empty park. But cotton candy, lovely rides and lots of laughter soon turn into something completely different, as they realize they are not alone in the park. And the night of dreams quickly turns into a true nightmare.",2023,Horror,,"Amanda Lindh, Embla Ingelman-Sundberg, Omar Rudberg, Wilma Lidén, Emil Algpeus",Simon Sandquist,,,,Scandinavian Content Group,Unknown
